trip_id,customer_id,vehicle_id,driver_id,pickup_city,drop_city,distance_to_travel,tourism_type,trip_category,trip_start_date,trip_end_date,trip_status,booking_amount,advance_paid,payment_status
1,2683,8,8,Guntur,"Horsley Hills",430,Vacation,"Corporate Travel","2026-03-16 18:00:00","2026-03-17 02:00:00",Completed,12226,6024,Paid
2,2416,2,32,Nellore,Tirumala,140,Devotional,"Marriage Booking","2025-01-16 19:00:00","2025-01-16 21:00:00",Completed,19633,9262,Pending
3,1881,2,4,Guntur,"Chirala Beach",110,Beach,"Airport Transfer","2024-02-03 15:00:00","2024-02-03 17:00:00",Completed,27330,13639,Pending
4,1140,1,29,Guntur,"Chirala Beach",110,Beach,"Marriage Booking","2024-05-12 15:00:00","2024-05-12 17:00:00",completed,11056,3912,Paid
5,1175,12,2,Vijayawada,Visakhapatnam,350,Beach,"Corporate Travel","2025-11-25 05:00:00","2025-11-25 12:00:00",completed,69572,15595,Paid
6,2945,12,20,Guntur,"Chirala Beach",110,Beach,"Round Trip","2025-05-22 01:00:00","2025-05-22 03:00:00",Cancelled,44568,20099,Paid
7,2490,6,7,Hyderabad,Bangalore,570,Corporate,"Marriage Booking","2024-12-21 02:00:00","2024-12-21 13:00:00",Completed,61313,39735,Paid
8,2676,6,32,Vijayawada,Visakhapatnam,350,Beach,"Package Trip","2025-08-21 16:00:00","2025-08-21 23:00:00",completed,45508,20204,Partial
9,1729,3,28,Hyderabad,Ooty,850,Vacation,"Package Trip","2025-10-06 18:00:00","2025-10-07 11:00:00",Cancelled,12067,4206,Partial
10,1832,7,3,Vijayawada,Srisailam,290,Devotional,"Round Trip","2025-03-20 20:00:00","2025-03-21 01:00:00",Completed,11140,7767,Paid
11,1839,12,2,Vijayawada,Visakhapatnam,350,Beach,"Corporate Travel","2025-08-01 19:00:00","2025-08-02 02:00:00",Completed,51904,35224,Paid
12,960,7,23,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Package Trip","2025-09-21 00:00:00","2025-09-21 13:00:00",completed,8996,4636,Partial
13,2991,10,37,Ongole,"Chennai Airport",320,Airport,"Airport Transfer","2024-12-31 22:00:00","2025-01-01 04:00:00",Cancelled,18570,12071,Partial
14,1752,14,31,Ongole,"Chennai Airport",320,Airport,"Corporate Travel","2024-10-07 22:00:00","2024-10-08 04:00:00",Completed,19823,10859,Pending
15,2135,6,8,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Marriage Booking","2025-04-26 09:00:00","2025-04-26 22:00:00",Completed,55947,38532,Pending
16,2998,6,22,Guntur,"Hyderabad Airport",310,Airport,"Airport Transfer","2024-12-11 19:00:00","2024-12-12 01:00:00",Completed,55461,37684,Partial
17,64,4,29,Guntur,"Chirala Beach",110,Beach,"Corporate Travel","2025-07-03 23:00:00","2025-07-04 01:00:00",Completed,28698,10227,Paid
18,2501,1,21,Vijayawada,Visakhapatnam,350,Beach,"Corporate Travel","2025-03-01 02:00:00","2025-03-01 09:00:00",Completed,7951,1639,Pending
19,1792,6,38,Guntur,Bheemunipatnam,390,Beach,"Package Trip","2024-09-13 08:00:00","2024-09-13 15:00:00",Completed,43012,29830,Partial
20,585,1,8,Guntur,Rajahmundry,170,Marriage,"Round Trip","2024-12-16 07:00:00","2024-12-16 10:00:00",completed,12964,4788,Partial
21,1783,2,31,Vijayawada,Lambasingi,430,Vacation,"Package Trip","2025-06-03 20:00:00","2025-06-04 04:00:00",Completed,24991,5644,Partial
22,748,4,17,Guntur,Rajahmundry,170,Marriage,"Corporate Travel","2026-04-22 15:00:00","2026-04-22 18:00:00",Completed,19494,7029,Paid
23,2476,10,22,Guntur,Tirupati,380,Devotional,"Airport Transfer","2025-11-14 21:00:00","2025-11-15 04:00:00",completed,21647,5794,Partial
24,2472,8,28,Guntur,"Hyderabad City Tour",280,Entertainment,"Airport Transfer","2024-02-18 19:00:00","2024-02-19 00:00:00",completed,5569,3819,Pending
25,2154,6,9,Ongole,"Chennai Airport",320,Airport,"Marriage Booking","2025-08-27 04:00:00","2025-08-27 10:00:00",Completed,42581,21259,Paid
26,977,3,12,Hyderabad,Ooty,850,Vacation,"Marriage Booking","2024-01-03 17:00:00","2024-01-04 10:00:00",Completed,4294,1348,Paid
27,716,4,11,Vijayawada,Lambasingi,430,Vacation,"Airport Transfer","2025-12-05 01:00:00","2025-12-05 09:00:00",Completed,29738,19679,Pending
28,1240,4,24,Guntur,Bheemunipatnam,390,Beach,"One Way","2026-02-11 20:00:00","2026-02-12 03:00:00",Completed,14032,3323,Partial
29,2766,6,24,Visakhapatnam,Simhachalam,20,Devotional,"One Way","2026-02-07 18:00:00","2026-02-07 20:00:00",Completed,38901,8062,Paid
30,2420,6,4,Guntur,"Hyderabad Airport",310,Airport,"Corporate Travel","2025-10-09 16:00:00","2025-10-09 22:00:00",Completed,42542,15796,Partial
31,2291,11,15,Guntur,"Hyderabad City Tour",280,Entertainment,"Package Trip","2024-12-29 12:00:00","2024-12-29 17:00:00",Completed,19598,12041,Pending
32,2681,4,33,Visakhapatnam,Simhachalam,20,Devotional,"Airport Transfer","2024-09-09 04:00:00","2024-09-09 06:00:00",completed,15344,4958,Pending
33,2428,12,15,Guntur,"Horsley Hills",430,Vacation,"One Way","2024-12-01 09:00:00","2024-12-01 17:00:00",Cancelled,35628,19349,Paid
34,672,15,19,Guntur,Bheemunipatnam,390,Beach,"Round Trip","2024-06-10 08:00:00","2024-06-10 15:00:00",Completed,13049,5504,Pending
35,2770,8,37,Vijayawada,Lambasingi,430,Vacation,"Package Trip","2025-08-09 11:00:00","2025-08-09 19:00:00",Cancelled,5115,3276,Partial
36,356,14,10,Guntur,"Hyderabad Airport",310,Airport,"One Way","2024-11-19 22:00:00","2024-11-20 04:00:00",Cancelled,13909,6540,Partial
37,2300,8,39,Guntur,"Vijayawada Airport",35,Airport,"Corporate Travel","2025-04-22 05:00:00","2025-04-22 07:00:00",Completed,6865,2757,Pending
38,2257,10,5,Hyderabad,Ooty,850,Vacation,"Corporate Travel","2024-04-23 20:00:00","2024-04-24 13:00:00",Completed,11675,4631,Pending
39,2965,7,18,Guntur,Nellore,270,Marriage,"Marriage Booking","2025-03-15 04:00:00","2025-03-15 09:00:00",Completed,5766,3334,Paid
40,249,11,13,Visakhapatnam,Simhachalam,20,Devotional,"Corporate Travel","2025-06-03 02:00:00","2025-06-03 04:00:00",Completed,10687,6957,Pending
41,704,2,14,Guntur,Rajahmundry,170,Marriage,"Marriage Booking","2024-04-07 13:00:00","2024-04-07 16:00:00",Completed,16870,7278,Partial
42,1771,13,24,Vijayawada,Hyderabad,275,Corporate,"Marriage Booking","2024-12-01 07:00:00","2024-12-01 12:00:00",Cancelled,20267,7746,Paid
43,1436,6,21,Guntur,Bheemunipatnam,390,Beach,"One Way","2024-12-24 05:00:00","2024-12-24 12:00:00",Cancelled,31376,12427,Partial
44,2780,10,19,Hyderabad,Goa,660,Beach,"Marriage Booking","2024-07-23 12:00:00","2024-07-24 01:00:00",completed,27441,9222,Pending
45,1273,11,5,Vijayawada,Kakinada,210,Marriage,"Marriage Booking","2024-08-13 00:00:00","2024-08-13 04:00:00",Completed,29964,13028,Pending
46,971,7,40,Guntur,Bheemunipatnam,390,Beach,"Marriage Booking","2024-12-09 00:00:00","2024-12-09 07:00:00",Completed,6236,3277,Pending
47,1025,10,37,Guntur,"Amaravati Secretariat",40,Corporate,"Corporate Travel","2025-07-10 16:00:00","2025-07-10 18:00:00",Completed,28618,11685,Pending
48,731,13,14,Guntur,"Vijayawada Airport",35,Airport,"Airport Transfer","2024-06-27 02:00:00","2024-06-27 04:00:00",completed,23741,10258,Pending
49,1221,15,30,Visakhapatnam,Simhachalam,20,Devotional,"Round Trip","2025-12-12 18:00:00","2025-12-12 20:00:00",completed,22511,9320,Pending
50,1274,3,12,Guntur,"Hyderabad City Tour",280,Entertainment,"Marriage Booking","2026-02-16 15:00:00","2026-02-16 20:00:00",Completed,6559,3154,Paid
51,2506,8,7,Nellore,Tirumala,140,Devotional,"Round Trip","2025-04-24 19:00:00","2025-04-24 21:00:00",Cancelled,3290,1280,Pending
52,2834,6,23,Hyderabad,Ooty,850,Vacation,"Airport Transfer","2024-05-12 23:00:00","2024-05-13 16:00:00",Completed,63549,41196,Paid
53,1984,9,37,Nellore,Tirumala,140,Devotional,"One Way","2026-04-10 04:00:00","2026-04-10 06:00:00",Completed,2890,607,Partial
54,1892,12,20,Guntur,"Ramoji Film City",290,Entertainment,"Airport Transfer","2024-09-22 04:00:00","2024-09-22 09:00:00",Completed,45521,18871,Pending
55,1730,12,18,Guntur,"Amaravati Secretariat",40,Corporate,"Corporate Travel","2025-02-06 14:00:00","2025-02-06 16:00:00",Completed,47436,9815,Paid
56,981,7,11,Guntur,"Vijayawada Airport",35,Airport,"One Way","2025-12-16 14:00:00","2025-12-16 16:00:00",Completed,11375,3056,Partial
57,48,3,26,Guntur,"Hyderabad City Tour",280,Entertainment,"Corporate Travel","2024-05-17 12:00:00","2024-05-17 17:00:00",completed,5190,1154,Pending
58,1543,1,13,Vijayawada,"Wonderla Bangalore",650,Entertainment,"Round Trip","2024-03-18 09:00:00","2024-03-18 22:00:00",completed,9772,5878,Pending
59,2910,8,38,Guntur,"Vijayawada Airport",35,Airport,"Marriage Booking","2025-09-22 06:00:00","2025-09-22 08:00:00",Completed,6059,1499,Partial
60,2766,14,27,Hyderabad,"Araku Valley",710,Vacation,"Airport Transfer","2025-12-04 12:00:00","2025-12-05 02:00:00",Completed,26880,16680,Paid
61,2783,8,1,Hyderabad,"Araku Valley",710,Vacation,"Airport Transfer","2026-04-23 12:00:00","2026-04-24 02:00:00",Completed,5079,2314,Paid
62,393,8,23,Hyderabad,Ooty,850,Vacation,"Marriage Booking","2024-03-11 14:00:00","2024-03-12 07:00:00",Cancelled,10507,5412,Pending
63,1567,5,31,Guntur,Bheemunipatnam,390,Beach,"Marriage Booking","2025-09-08 08:00:00","2025-09-08 15:00:00",completed,7688,1748,Partial
64,2038,10,4,Guntur,"Chirala Beach",110,Beach,"Package Trip","2025-11-30 21:00:00","2025-11-30 23:00:00",Completed,23000,7033,Partial
65,228,13,15,Guntur,"Chirala Beach",110,Beach,"Package Trip","2025-05-30 08:00:00","2025-05-30 10:00:00",Completed,25092,12747,Paid
66,586,9,31,Guntur,Nellore,270,Marriage,"Package Trip","2024-04-15 10:00:00","2024-04-15 15:00:00",Cancelled,14215,5028,Pending
67,1191,1,37,Hyderabad,Ooty,850,Vacation,"Package Trip","2025-03-05 03:00:00","2025-03-05 20:00:00",Completed,9609,5673,Partial
68,2673,3,9,Vijayawada,Kakinada,210,Marriage,"Airport Transfer","2024-03-04 22:00:00","2024-03-05 02:00:00",Completed,13483,9003,Partial
69,1653,8,3,Ongole,"Chennai Airport",320,Airport,"Airport Transfer","2024-01-19 14:00:00","2024-01-19 20:00:00",completed,12204,7870,Pending
70,59,7,9,Guntur,Nellore,270,Marriage,"Round Trip","2025-05-06 05:00:00","2025-05-06 10:00:00",Completed,14255,4829,Partial
71,210,14,25,Guntur,Rajahmundry,170,Marriage,"Package Trip","2024-01-19 02:00:00","2024-01-19 05:00:00",Completed,18190,8166,Paid
72,2145,9,19,Guntur,Tirupati,380,Devotional,"Round Trip","2024-01-19 04:00:00","2024-01-19 11:00:00",Completed,12631,4665,Paid
73,1656,3,10,Hyderabad,Ooty,850,Vacation,"Round Trip","2024-12-09 04:00:00","2024-12-09 21:00:00",Completed,8051,1647,Pending
74,2103,13,19,Hyderabad,Ooty,850,Vacation,"Corporate Travel","2026-03-06 14:00:00","2026-03-07 07:00:00",Cancelled,25169,8814,Paid
75,1763,12,20,Guntur,Tirupati,380,Devotional,"Marriage Booking","2026-01-07 07:00:00","2026-01-07 14:00:00",Completed,49658,21646,Paid
76,462,10,6,Guntur,"Horsley Hills",430,Vacation,"Airport Transfer","2025-07-06 00:00:00","2025-07-06 08:00:00",Completed,18314,5996,Pending
77,2826,12,28,Vijayawada,Srisailam,290,Devotional,"Corporate Travel","2024-01-19 18:00:00","2024-01-19 23:00:00",Cancelled,37451,21981,Partial
78,1428,2,9,Hyderabad,Yadagirigutta,65,Devotional,"Package Trip","2024-05-22 13:00:00","2024-05-22 15:00:00",Completed,22565,6709,Paid
79,2153,6,7,Ongole,"Chennai Airport",320,Airport,"One Way","2024-06-24 06:00:00","2024-06-24 12:00:00",Completed,58232,34000,Paid
80,2771,12,19,Vijayawada,Lambasingi,430,Vacation,"One Way","2024-01-03 23:00:00","2024-01-04 07:00:00",Completed,41015,27323,Pending
81,1889,8,5,Hyderabad,Pondicherry,780,Beach,"One Way","2024-10-27 00:00:00","2024-10-27 15:00:00",Cancelled,10311,6889,Pending
82,751,10,5,Hyderabad,Goa,660,Beach,"Airport Transfer","2024-05-26 11:00:00","2024-05-27 00:00:00",Cancelled,27757,18344,Pending
83,1172,5,27,Guntur,"Hyderabad Airport",310,Airport,"Corporate Travel","2024-06-08 15:00:00","2024-06-08 21:00:00",Completed,4660,2352,Paid
84,329,5,25,Guntur,"Hyderabad City Tour",280,Entertainment,"Marriage Booking","2024-08-24 06:00:00","2024-08-24 11:00:00",completed,5049,1947,Paid
85,2538,2,13,Hyderabad,"Araku Valley",710,Vacation,"One Way","2024-05-13 14:00:00","2024-05-14 04:00:00",Completed,15006,6985,Partial
86,2752,7,5,Guntur,Tirupati,380,Devotional,"Round Trip","2024-03-05 14:00:00","2024-03-05 21:00:00",Completed,10201,3051,Pending
87,2713,5,25,Hyderabad,"Araku Valley",710,Vacation,"One Way","2024-04-11 12:00:00","2024-04-12 02:00:00",completed,12911,8431,Partial
88,1660,9,30,Guntur,"Hyderabad Airport",310,Airport,"Corporate Travel","2025-02-14 19:00:00","2025-02-15 01:00:00",completed,5526,1881,Paid
89,1735,4,11,Vijayawada,Visakhapatnam,350,Beach,"Corporate Travel","2025-10-05 20:00:00","2025-10-06 03:00:00",Completed,11341,3126,Paid
90,1363,3,20,Guntur,"Vijayawada Airport",35,Airport,"Marriage Booking","2025-08-05 22:00:00","2025-08-06 00:00:00",Completed,12856,6756,Pending
91,1394,10,12,Vijayawada,Hyderabad,275,Corporate,"Marriage Booking","2024-08-06 03:00:00","2024-08-06 08:00:00",Completed,26241,10806,Partial
92,1250,13,31,Ongole,"Chennai Airport",320,Airport,"Airport Transfer","2025-02-21 07:00:00","2025-02-21 13:00:00",Completed,15935,5756,Paid
93,1050,9,27,Guntur,"Horsley Hills",430,Vacation,"Package Trip","2024-08-09 11:00:00","2024-08-09 19:00:00",Cancelled,9518,6407,Paid
94,1831,13,16,Vijayawada,Srisailam,290,Devotional,"One Way","2026-01-12 01:00:00","2026-01-12 06:00:00",Cancelled,22727,14671,Pending
95,1168,11,10,Nellore,Tirumala,140,Devotional,"Marriage Booking","2025-02-02 06:00:00","2025-02-02 08:00:00",Completed,17434,5143,Paid
96,410,5,26,Hyderabad,Goa,660,Beach,"Round Trip","2025-10-17 13:00:00","2025-10-18 02:00:00",Cancelled,4508,1400,Pending
97,2901,6,33,Visakhapatnam,Simhachalam,20,Devotional,"Airport Transfer","2024-06-24 05:00:00","2024-06-24 07:00:00",Completed,34807,18119,Partial
98,440,14,36,Guntur,Bheemunipatnam,390,Beach,"Package Trip","2026-04-27 13:00:00","2026-04-27 20:00:00",Completed,20070,8830,Pending
99,26,11,5,Hyderabad,Goa,660,Beach,"Marriage Booking","2024-11-18 12:00:00","2024-11-19 01:00:00",Completed,29694,16289,Partial
100,693,12,29,Hyderabad,Bangalore,570,Corporate,"Marriage Booking","2024-03-29 08:00:00","2024-03-29 19:00:00",Completed,64336,16914,Pending
